iter	Passed	Remaining
400	34970	8633
401	35041	8542
402	35110	8450
403	35178	8359
404	35246	8267
405	35333	8180
406	35407	8090
407	35481	8000
408	35548	7909
409	35618	7818
410	35688	7728
411	35758	7637
412	35828	7547
413	35906	7458
414	35977	7368
415	36046	7278
416	36119	7189
417	36190	7099
418	36260	7009
419	36335	6921
420	36412	6832
421	36483	6743
422	36551	6653
423	36620	6564
424	36694	6475
425	36763	6386
426	36835	6297
427	36911	6209
428	36982	6120
429	37053	6031
430	37124	5943
431	37200	5855
432	37275	5767
433	37351	5680
434	37447	5595
435	37519	5507
436	37586	5418
437	37657	5330
438	37730	5242
439	37800	5154
440	37874	5067
441	37949	4979
442	38025	4892
443	38095	4804
444	38164	4716
445	38234	4629
446	38303	4541
447	38374	4454
448	38482	4371
449	38559	4284
450	38633	4197
451	38711	4110
452	38791	4024
453	38869	3938
454	38946	3851
455	39024	3765
456	39113	3680
457	39195	3594
458	39265	3507
459	39335	3420
460	39404	3333
461	39500	3248
462	39573	3162
463	39644	3075
464	39719	2989
465	39806	2904
466	39898	2819
467	39975	2733
468	40046	2646
469	40117	2560
470	40185	2474
471	40259	2388
472	40328	2302
473	40396	2215
474	40470	2130
475	40562	2045
476	40638	1959
477	40709	1873
478	40781	1787
479	40853	1702
480	40928	1616
481	41003	1531
482	41071	1445
483	41139	1359
484	41210	1274
485	41280	1189
486	41352	1103
487	41421	1018
488	41495	933
489	41592	848
490	41673	763
491	41749	678
492	41821	593
493	41943	509
494	42022	424
495	42102	339
496	42179	254
497	42254	169
498	42389	84
499	42533	0
