iter	PairLogit
0	0.6775348319
1	0.661244886
2	0.6469620805
3	0.6314703719
4	0.6217404862
5	0.6077473596
6	0.5937164233
7	0.5847315526
8	0.5763221571
9	0.568072629
10	0.5568993015
11	0.5502832106
12	0.5438868812
13	0.5373166752
14	0.5319278768
15	0.5262827871
16	0.5217386527
17	0.5158487958
18	0.5115160911
19	0.5062345406
20	0.5021749443
21	0.4982943302
22	0.4950971126
23	0.4915150258
24	0.4880790427
25	0.4850213589
26	0.4812200795
27	0.4784996302
28	0.4758465109
29	0.473674477
30	0.4708405763
31	0.4683588677
32	0.465978752
33	0.4627013153
34	0.4613831502
35	0.460329505
36	0.4591483261
37	0.4574101574
38	0.4556783525
39	0.454065509
40	0.4530453629
41	0.4516460338
42	0.4504781365
43	0.4488620385
44	0.4477964422
45	0.4467934723
46	0.4456247236
47	0.4448600838
48	0.4440378055
49	0.442955315
50	0.4424212025
51	0.4417220358
52	0.4405198756
53	0.4394887451
54	0.4388699686
55	0.4379023573
56	0.4373237928
57	0.4364636675
58	0.4360781321
59	0.4352736626
60	0.4345129656
61	0.4337611712
62	0.4323774482
63	0.4319108432
64	0.4314508193
65	0.4310791558
66	0.4303618407
67	0.4298924876
68	0.4296590177
69	0.4291903439
70	0.4286074483
71	0.4282994484
72	0.4281609405
73	0.4275986316
74	0.4273914631
75	0.4268984318
76	0.4260050715
77	0.4254178088
78	0.4249192949
79	0.4244995695
80	0.4237346985
81	0.4233784957
82	0.4226746334
83	0.4221337334
84	0.4217538611
85	0.4215275616
86	0.421198154
87	0.4206763136
88	0.4202378303
89	0.4200916046
90	0.4197400108
91	0.4196190715
92	0.4194973604
93	0.4191266572
94	0.4188692493
95	0.4184778096
96	0.4182284283
97	0.4180091423
98	0.4178140984
99	0.4175640695
100	0.4174455959
101	0.4172762998
102	0.4168348712
103	0.4167458
104	0.4165708717
105	0.4164827733
106	0.4161251258
107	0.4159311914
108	0.4158777264
109	0.4157704771
110	0.4156436233
111	0.4154110606
112	0.4151178104
113	0.4149195742
114	0.414657743
115	0.414483642
116	0.414229343
117	0.4141685903
118	0.4140538812
119	0.4137751411
120	0.4136397254
121	0.4136172017
122	0.4132411945
123	0.4132018425
124	0.4131409981
125	0.413019782
126	0.4128723542
127	0.4128284673
128	0.4127368692
129	0.4125669214
130	0.4123932246
131	0.4121113776
132	0.4118796824
133	0.4114716901
134	0.4114179425
135	0.4112757191
136	0.4111466998
137	0.4109904436
138	0.4108203869
139	0.4106081706
140	0.4104846579
141	0.410134877
142	0.4100866218
143	0.4099963364
144	0.4098329797
145	0.4096881899
146	0.409606015
147	0.4095315888
148	0.4093738609
149	0.4091836757
150	0.4090250008
151	0.4088167477
152	0.4085934861
153	0.4084603623
154	0.4082887469
155	0.4080896368
156	0.4080312471
157	0.4079434777
158	0.407792255
159	0.4074977434
160	0.407378708
161	0.407252716
162	0.407168344
163	0.4070827191
164	0.4069411269
165	0.4067538812
166	0.4065183318
167	0.4064100371
168	0.4062631725
169	0.4061945245
170	0.4061276041
171	0.4059001994
172	0.4057993167
173	0.405645448
174	0.4054564642
175	0.4052705717
176	0.4050892664
177	0.4049579876
178	0.4048735519
179	0.4047864541
180	0.4046534666
181	0.4045822648
182	0.4045494178
183	0.4044719069
184	0.4044064812
185	0.4042505894
186	0.4041305373
187	0.4039608442
188	0.4038714888
189	0.4036421845
190	0.4035214598
191	0.4033806088
192	0.403263941
193	0.4032139754
194	0.4031093021
195	0.4030001249
196	0.4028323011
197	0.4027587135
198	0.4026471533
199	0.4025625256
200	0.402501231
201	0.4023762725
202	0.4021298782
203	0.4018928819
204	0.401824964
205	0.4016888588
206	0.4015380087
207	0.4014664892
208	0.4013088037
209	0.4012333674
210	0.4010193184
211	0.400818569
212	0.4007071327
213	0.4005679247
214	0.400325298
215	0.400216342
216	0.4001438986
217	0.3999432913
218	0.3997545147
219	0.3995957264
220	0.3994911568
221	0.3993770471
222	0.3992049788
223	0.3989882168
224	0.3989015517
225	0.3987832911
226	0.3986981606
227	0.3986122708
228	0.3984727867
229	0.3983726907
230	0.3982835602
231	0.3981727632
232	0.3980917049
233	0.397953998
234	0.3978561793
235	0.3977328177
236	0.3975797193
237	0.3974850817
238	0.3972982959
239	0.3971294373
240	0.3968857616
241	0.3966073812
242	0.3963890051
243	0.3961920658
244	0.3960308182
245	0.3959412749
246	0.3957868176
247	0.395609898
248	0.395530063
249	0.3953448728
250	0.3952412161
251	0.3950422627
252	0.3949044556
253	0.3947648767
254	0.3946494919
255	0.3944643703
256	0.394326516
257	0.3941981798
258	0.3940721935
259	0.393818922
260	0.393756401
261	0.3935790673
262	0.3934275161
263	0.3932742568
264	0.3930117139
265	0.3928182617
266	0.3926114792
267	0.3924957593
268	0.3923166884
269	0.3921941611
270	0.391929634
271	0.391792698
272	0.3916512534
273	0.3915319336
274	0.3912846865
275	0.391154284
276	0.39097598
277	0.3907898924
278	0.3905238985
279	0.3903107534
280	0.3901372284
281	0.3899439605
282	0.3896783108
283	0.3895205569
284	0.3892184006
285	0.3889860804
286	0.3888316365
287	0.3885701358
288	0.3883184984
289	0.3881613884
290	0.3879912373
291	0.3878486361
292	0.3876544045
293	0.3874933086
294	0.3873216529
295	0.3871134681
296	0.3869369267
297	0.3867286382
298	0.3865692602
299	0.386355643
300	0.3861721817
301	0.3860169777
302	0.3858557455
303	0.3857228073
304	0.3855449944
305	0.3853609824
306	0.385125858
307	0.3849819096
308	0.3848275526
309	0.3846328882
310	0.3844501142
311	0.3843029342
312	0.3840969772
313	0.383963655
314	0.3837841679
315	0.3836581249
316	0.3834759634
317	0.3833269074
318	0.3831547532
319	0.3829899195
320	0.3828274867
321	0.3826197303
322	0.3824946654
323	0.3823075043
324	0.3821621382
325	0.3820327073
326	0.3818927758
327	0.381700373
328	0.3815299096
329	0.3813901202
330	0.3812475733
331	0.3810015114
332	0.3807946229
333	0.3806593651
334	0.3804886916
335	0.3803404102
336	0.3801344271
337	0.3799797907
338	0.3798208689
339	0.3796610881
340	0.3795113539
341	0.3793544977
342	0.3791824492
343	0.3790187668
344	0.3788366564
345	0.3786797367
346	0.3785164362
347	0.3783166875
348	0.3781773063
349	0.378016388
350	0.377890798
351	0.3777469868
352	0.3776113294
353	0.3775236918
354	0.3773731419
355	0.3772073271
356	0.3770418134
357	0.3769322026
358	0.3767890857
359	0.3766468099
360	0.3764969467
361	0.3763323068
362	0.3762019922
363	0.3760518857
364	0.375928844
365	0.3758051554
366	0.3756616087
367	0.3755280308
368	0.3753769507
369	0.3752214964
370	0.3750809225
371	0.3749607623
372	0.3748329207
373	0.3747068283
374	0.37459096
375	0.3744122573
376	0.3742812346
377	0.3741504213
378	0.3739884044
379	0.3738784481
380	0.3737435365
381	0.3735979709
382	0.3734947648
383	0.3733620618
384	0.3732345545
385	0.3730952335
386	0.3729591409
387	0.3728294883
388	0.3726631257
389	0.3725678583
390	0.3724122543
391	0.3722651811
392	0.3721683618
393	0.3720299695
394	0.371884487
395	0.371773438
396	0.371681131
397	0.3715512975
398	0.3713676042
399	0.3712722001
400	0.3711500238
401	0.3709841069
402	0.3708534899
403	0.3707385608
404	0.3706184147
405	0.3704853943
406	0.3703189606
407	0.3701873955
408	0.3700893812
409	0.3699508505
410	0.3698296616
411	0.3697037976
412	0.3695631983
413	0.369456471
414	0.3693591311
415	0.3692390602
416	0.3691455307
417	0.3690631124
418	0.3689438523
419	0.3688550543
420	0.3687658789
421	0.3686646695
422	0.3685492007
423	0.3684898212
424	0.3683491748
425	0.3682214964
426	0.3681618412
427	0.3680544842
428	0.3679723234
429	0.3678394232
430	0.3676686376
431	0.3675372011
432	0.3674382063
433	0.3672983188
434	0.3671683693
435	0.3670785065
436	0.3669728886
437	0.3668256785
438	0.3666915088
439	0.3665858021
440	0.3664409327
441	0.3663385119
442	0.3662059596
443	0.3661170485
444	0.3659887507
445	0.365869543
446	0.3657483579
447	0.3656247888
448	0.3654920576
449	0.3653379934
450	0.3652269927
451	0.3651148016
452	0.3650490602
453	0.3649397118
454	0.3648227058
455	0.3646920182
456	0.364548421
457	0.3643959743
458	0.3642827143
459	0.3641205806
460	0.3639522637
461	0.3638369879
462	0.3637078421
463	0.3635806241
464	0.3634689584
465	0.3633727618
466	0.3632647167
467	0.3631398115
468	0.3629939154
469	0.3628818672
470	0.3627865375
471	0.3626521654
472	0.3625522959
473	0.3624535924
474	0.3623290142
475	0.3622433596
476	0.3621457917
477	0.3620492075
478	0.3619014485
479	0.3617892438
480	0.3616887781
481	0.361597277
482	0.3614841117
483	0.3613793071
484	0.3612806638
485	0.3611549032
486	0.3610263077
487	0.3609278317
488	0.3608505174
489	0.3607544226
490	0.3606484439
491	0.3605243522
492	0.3604011573
493	0.3603289036
494	0.3602302943
495	0.3600863298
496	0.3599659401
497	0.3598515898
498	0.3597317324
499	0.3596033448
